name,family,dominant_interaction,base_name,base_value,theta_rad,theta_deg,x,y,z_log10_N,N,compton_frequency_hz,lifetime_s
Sigma_plus,baryon,weak,2pi,6.283185307179586,4.659840964800592,266.98922048524355,-0.05252383550323999,-0.9986196706975227,13.362837396118582,23058836828435.76,2.8758838648585384e+23,8.018e-11
Xi_minus,baryon,weak,2pi,6.283185307179586,1.1816632617803042,67.70431770567399,0.3793864363310045,0.9252383108843152,13.719169493736818,52380482397347.77,3.195880561156057e+23,1.639e-10
Omega_minus,baryon,weak,2pi,6.283185307179586,5.906065831958248,338.3926456976289,0.9297292269430207,-0.3682438927775084,13.521150664275083,33200961746063.605,4.043966107924921e+23,8.21e-11
Delta_1232,baryon,strong,2pi,6.283185307179586,1.7495522780417816,100.24196156929281,-0.17780548568406482,0.9840656529219246,0.22225309913704822,1.6682191378992266,2.978962746248619e+23,5.5999999999999996e-24
pi0,meson,electromagnetic,2pi,6.283185307179586,0.4258860162915315,24.401471287144574,0.9106730524778623,0.41312781495640366,6.439541066697468,2751319.756290731,3.2637245033104756e+22,8.43e-17
pi_plus,meson,weak,2pi,6.283185307179586,4.538415006827184,260.0320255700343,-0.17309769065888142,-0.9849046601009471,14.943771874719356,878560907002411.5,3.374797015335964e+22,2.6033e-08
K_plus,meson,weak,2pi,6.283185307179586,0.033065128053897504,1.894492286547944,0.9994533984561904,0.03305910335098929,15.169617903259415,1477807625730168.0,1.193705675064756e+23,1.238e-08
K_short,meson,weak,2pi,6.283185307179586,2.0583699943145763,117.93591335059249,-0.4684836720907667,0.8834721551833713,13.032361426487812,10773614372629.879,1.2032180447431181e+23,8.954e-11
K_long,meson,weak,2pi,6.283185307179586,4.910937544258996,281.3759947383814,0.19724661799284637,-0.9803539012470874,15.789274872247002,6155663516905793.0,1.2032180447431181e+23,5.116e-08
eta,meson,electromagnetic,2pi,6.283185307179586,0.2656767301948925,15.222155355003222,0.9649150379960945,0.26256231536341135,4.82282926003031,66501.16599178579,1.3247244221471272e+23,5.02e-19
rho_770,meson,strong,2pi,6.283185307179586,5.632497359973658,322.718326845069,0.7956672739031809,-0.6057339261090471,-0.08265966936381419,0.8266855198600702,1.8745703398187536e+23,4.41e-24
omega_782,meson,strong,2pi,6.283185307179586,2.8980316303458786,166.04498131423597,-0.9704853533563496,0.24116006908441803,1.1663292053773442,14.666591816628907,1.892463460210182e+23,7.749999999999999e-23
phi_1020,meson,strong,2pi,6.283185307179586,6.171380376134816,353.59404932238346,0.9937563367582986,-0.11157214326491646,1.582156678747984,38.208208826239556,2.4650457307251326e+23,1.55e-22
D0,meson,weak,2pi,6.283185307179586,0.7295613945848278,41.800788805389146,0.7454668232922652,0.6665427333416356,11.267197457307917,185010960278.34146,4.509163058209639e+23,4.103e-13
D_plus,meson,weak,2pi,6.283185307179586,3.8950053366720594,223.1673669722413,-0.7293583955559991,-0.6841318080837775,11.669317322546195,467000475264.6251,4.5208177663564874e+23,1.033e-12
Ds_plus,meson,weak,2pi,6.283185307179586,1.5983843708632035,91.58067849013491,-0.027584544657282578,0.9996194740480251,11.377567751184174,238543590127.85135,4.759449124657848e+23,5.012e-13
J_psi,meson,mixed,2pi,6.283185307179586,4.185447944358249,239.8085025834339,-0.502891684374343,-0.8643494396290983,3.7244148040524654,5301.695785739452,7.488270883812783e+23,7.080000000000001e-21
B_plus,meson,weak,2pi,6.283185307179586,2.736707369467259,156.80178203282358,-0.9191475913259386,0.39391332214044916,12.320353652430827,2090998168550.197,1.2765556584555537e+24,1.638e-12
B0,meson,weak,2pi,6.283185307179586,2.4745512143875694,141.7813407733803,-0.7856554575726824,0.61866428859783,12.287050836244319,1936648644657.1626,1.2766306161220584e+24,1.517e-12
Bs0,meson,weak,2pi,6.283185307179586,2.528305686810125,144.86124517314508,-0.8177605971293406,0.5755585163844457,12.293879496489762,1967340336858.258,1.297717900302281e+24,1.516e-12
Upsilon_1S,meson,mixed,2pi,6.283185307179586,3.5775245694635998,204.97705893462117,-0.906476929520347,-0.42225534484167737,4.445367569337434,27884.802274074773,2.2875145425820157e+24,1.2190000000000001e-20
W,boson,weak,2pi,6.283185307179586,6.204869621478372,355.5128417396474,0.9969348937803615,-0.0782356540404654,0.7882310922760309,6.140886807441088,1.9433186099497117e+25,3.16e-25
Z,boson,weak,2pi,6.283185307179586,6.021965352678474,345.0331990824869,0.9660756325021878,-0.25825931209832065,0.7649959817301074,5.820978319391123,2.204916030072395e+25,2.64e-25
Higgs,boson,mixed,2pi,6.283185307179586,3.8765854008219414,222.1119823891278,-0.7418356169957814,-0.6705817752940266,3.685178675832777,4843.716049744508,3.027322531090317e+25,1.6000000000000002e-22
top,quark,weak,2pi,6.283185307179586,2.6821783116058717,153.67749715654145,-0.8963123456073308,0.4434232505314588,1.1389084362748172,13.769191379267722,4.172482236141734e+25,3.3e-25
