record_type,members,member_count,persistence_neighbor_score
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Omega_minus"", ""Xi_minus"", ""omega_782"", ""pi_plus"", ""rho_770"", ""top""]",9,0.0068
cluster,"[""D_plus"", ""K_long"", ""K_short"", ""W"", ""Z"", ""eta"", ""proton""]",7,0.0068
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""W"", ""Z"", ""electron"", ""neutron""]",9,0.0068
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""muon"", ""neutron"", ""omega_782"", ""proton"", ""rho_770"", ""top""]",14,0.0068
cluster,"[""D0"", ""Ds_plus"", ""K_short"", ""Upsilon_1S"", ""electron"", ""neutron"", ""omega_782"", ""tau"", ""top""]",9,0.0068
cluster,"[""D_plus"", ""Sigma_plus"", ""eta"", ""muon"", ""phi_1020"", ""pi0"", ""pi_plus"", ""proton"", ""rho_770""]",9,0.0068
cluster,"[""Lambda"", ""electron"", ""muon"", ""omega_782"", ""tau"", ""top""]",6,0.0066
cluster,"[""D0"", ""Ds_plus"", ""Lambda"", ""Xi_minus"", ""phi_1020"", ""pi0"", ""pi_plus""]",7,0.0066
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Xi_minus"", ""neutron"", ""omega_782"", ""proton"", ""rho_770"", ""tau"", ""top""]",12,0.0066
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""W"", ""Xi_minus"", ""Z"", ""neutron"", ""pi0"", ""pi_plus""]",13,0.0066
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""W"", ""Xi_minus"", ""Z"", ""electron"", ""neutron"", ""pi0"", ""pi_plus""]",14,0.0066
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""electron"", ""eta"", ""muon"", ""phi_1020"", ""proton"", ""rho_770""]",15,0.0066
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Upsilon_1S"", ""Xi_minus"", ""muon"", ""phi_1020"", ""rho_770""]",10,0.0066
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""Omega_minus"", ""tau""]",6,0.0064
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""W"", ""Z"", ""neutron"", ""proton"", ""tau""]",10,0.0064
cluster,"[""D_plus"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_short"", ""W"", ""Z"", ""electron""]",8,0.0064
cluster,"[""Omega_minus"", ""Upsilon_1S"", ""pi0""]",3,0.0062
cluster,"[""D_plus"", ""K_long"", ""K_short"", ""W"", ""Z"", ""electron"", ""eta""]",7,0.0062
cluster,"[""Ds_plus"", ""Higgs"", ""J_psi"", ""K_short"", ""W"", ""Z"", ""proton""]",7,0.0062
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""electron"", ""muon"", ""neutron"", ""omega_782"", ""top""]",13,0.0062
cluster,"[""D0"", ""Delta_1232"", ""Ds_plus"", ""Upsilon_1S"", ""muon"", ""phi_1020"", ""proton""]",7,0.006
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Xi_minus"", ""electron"", ""neutron"", ""omega_782"", ""pi_plus"", ""rho_770"", ""tau"", ""top""]",14,0.006
cluster,"[""Higgs"", ""J_psi"", ""Omega_minus"", ""W"", ""Z"", ""neutron"", ""pi0"", ""pi_plus""]",8,0.006
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Higgs"", ""J_psi"", ""K_plus"", ""Lambda"", ""W"", ""Xi_minus"", ""Z"", ""electron"", ""muon"", ""pi0"", ""proton"", ""tau""]",15,0.006
cluster,"[""neutron"", ""proton"", ""tau""]",3,0.0058
cluster,"[""D_plus"", ""Delta_1232"", ""Higgs"", ""J_psi"", ""K_plus"", ""eta""]",6,0.0058
cluster,"[""K_long"", ""Sigma_plus"", ""eta"", ""omega_782"", ""rho_770"", ""top""]",6,0.0058
cluster,"[""D_plus"", ""Delta_1232"", ""K_long"", ""K_short"", ""Upsilon_1S"", ""phi_1020"", ""proton""]",7,0.0058
cluster,"[""D0"", ""Ds_plus"", ""K_long""]",3,0.0058
cluster,"[""Delta_1232"", ""K_long"", ""eta"", ""neutron"", ""pi0"", ""tau""]",6,0.0058
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""W"", ""Xi_minus"", ""Z"", ""electron""]",8,0.0058
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""K_long"", ""Omega_minus"", ""Sigma_plus"", ""W"", ""Z"", ""electron"", ""neutron"", ""pi0"", ""tau""]",13,0.0056
cluster,"[""D0"", ""Delta_1232"", ""Ds_plus"", ""Upsilon_1S"", ""phi_1020""]",5,0.0056
cluster,"[""Delta_1232"", ""Ds_plus"", ""Upsilon_1S"", ""electron"", ""phi_1020""]",5,0.0056
cluster,"[""Upsilon_1S"", ""omega_782"", ""top""]",3,0.0054
cluster,"[""K_short"", ""pi_plus"", ""tau""]",3,0.0054
cluster,"[""K_short"", ""omega_782"", ""rho_770"", ""top""]",4,0.0054
cluster,"[""Sigma_plus"", ""neutron"", ""proton""]",3,0.0054
cluster,"[""D_plus"", ""Delta_1232"", ""K_short"", ""Upsilon_1S"", ""electron"", ""phi_1020""]",6,0.0054
