base_index,base,category_type,category,particle_count,angular_centroid_deg,angular_variance,overlap_score
1168,12.601960392078414,family,baryon,7,100.86927458547231,0.5926558571321539,1.0
1168,12.601960392078414,family,boson,3,224.38025909705382,0.47309445406326156,0.3333333333333333
1168,12.601960392078414,family,quark,1,12.58527601247339,1.1102230246251565e-16,1.0
1169,12.611722344468893,family,lepton,3,65.65746830257797,0.10023185918111566,1.0
1169,12.611722344468893,family,meson,17,83.58881771052108,0.7906709386245556,0.9411764705882353
1169,12.611722344468893,family,baryon,7,98.45416989153581,0.593562716305928,1.0
1169,12.611722344468893,family,boson,3,224.33138205308066,0.4747642034645372,0.3333333333333333
1169,12.611722344468893,family,quark,1,12.47144984927048,0.0,1.0
1170,12.621484296859371,family,lepton,3,62.79872528508244,0.08982903859967106,1.0
1170,12.621484296859371,family,meson,17,82.78410555405773,0.7894914946969563,0.9411764705882353
1170,12.621484296859371,family,baryon,7,96.05735243090608,0.5955044488969119,1.0
1170,12.621484296859371,family,boson,3,224.28368064348663,0.4764301480216787,0.3333333333333333
1170,12.621484296859371,family,quark,1,12.357781204486995,0.0,1.0
1171,12.631246249249848,family,lepton,3,59.93626603022795,0.08056411960785059,1.0
1171,12.631246249249848,family,meson,17,81.98094651133471,0.7883215199443829,0.9411764705882353
1171,12.631246249249848,family,baryon,7,93.68492434151787,0.5984746863040109,1.0
1171,12.631246249249848,family,boson,3,224.23715968185525,0.47809224202388656,0.3333333333333333
1171,12.631246249249848,family,quark,1,12.244269717421474,0.0,1.0
1172,12.641008201640327,family,lepton,3,57.07184506831906,0.07244908354122359,1.0
1172,12.641008201640327,family,meson,17,81.17931681905404,0.7871612403557884,1.0
1172,12.641008201640327,family,baryon,7,91.34331831187261,0.6024627537905388,1.0
1172,12.641008201640327,family,boson,3,224.1918239901368,0.4797504396504728,0.6666666666666666
1172,12.641008201640327,family,quark,1,12.130915028515528,1.1102230246251565e-16,1.0
1173,12.650770154030806,family,lepton,3,54.207119011373074,0.06549376550960628,1.0
1173,12.650770154030806,family,meson,17,80.37919321855307,0.7860108798294164,0.9411764705882353
1173,12.650770154030806,family,baryon,7,89.03943535174595,0.6074535854607568,1.0
1173,12.650770154030806,family,boson,3,224.14767839777062,0.48140469496930094,0.6666666666666666
1173,12.650770154030806,family,quark,1,12.017716779349303,0.0,1.0
1174,12.660532106421282,family,lepton,3,51.34366605447714,0.0597058778449443,1.0
1174,12.660532106421282,family,meson,17,79.58055293968266,0.7848706601393143,0.9411764705882353
1174,12.660532106421282,family,baryon,7,86.78080077367404,0.6134276020998599,1.0
1174,12.660532106421282,family,boson,3,224.10472774077883,0.48305496193526487,0.6666666666666666
1174,12.660532106421282,family,quark,1,11.90467461263684,0.0,1.0
1175,12.670294058811761,family,lepton,3,48.48300358875047,0.05509103029826634,1.0
1175,12.670294058811761,family,meson,17,78.78337368506489,0.7837408009025413,0.9411764705882353
1175,12.670294058811761,family,baryon,7,84.57574496470963,0.6203605421327378,1.0
1175,12.670294058811761,family,boson,3,224.0629768608333,0.48470119438881143,0.6666666666666666
1175,12.670294058811761,family,quark,1,11.791788172221356,0.0,1.0
1176,12.68005601120224,family,lepton,3,45.626604341573454,0.05165274753620519,1.0
1176,12.68005601120224,family,meson,17,77.98763361472231,0.7826215195470716,0.9411764705882353
1176,12.68005601120224,family,baryon,7,82.43361691728134,0.628223232309632,1.0
1176,12.68005601120224,family,boson,3,224.02243060429302,0.4863433460544966,0.6666666666666666
1176,12.68005601120224,family,quark,1,11.679057103071003,0.0,1.0
1177,12.689817963592716,family,lepton,3,42.77591140424027,0.04939248431870635,1.0
1177,12.689817963592716,family,meson,17,77.19331133107583,0.781513031280392,0.9411764705882353
1177,12.689817963592716,family,baryon,7,80.36504030531756,0.6369812799624628,1.0
