variant,tau_stable_s,base,base_value,category_type,category,particle_count,angular_centroid_deg,angular_variance
stable_truncated_1e+35,1e+35,10,10.0,family,boson,3,268.7267251664474,0.03807863174624626
stable_truncated_1e+35,1e+35,10,10.0,family,lepton,3,3.8980054451840305,0.44656328653921507
stable_truncated_1e+35,1e+35,10,10.0,family,meson,17,107.95398172126954,0.8692653261824962
stable_truncated_1e+35,1e+35,10,10.0,family,quark,1,50.00703705893419,1.1102230246251565e-16
stable_truncated_1e+35,1e+35,10,10.0,dominant_interaction,electromagnetic,2,227.226658811,0.6414996616236393
stable_truncated_1e+35,1e+35,10,10.0,dominant_interaction,mixed,3,226.32444167097822,0.2770057694003508
stable_truncated_1e+35,1e+35,10,10.0,dominant_interaction,stable,2,80.57835622732298,0.32445588758836885
stable_truncated_1e+35,1e+35,10,10.0,dominant_interaction,strong,4,51.92116382785078,0.7269017879447233
stable_truncated_1e+35,1e+35,10,10.0,dominant_interaction,weak,20,67.95092262864142,0.915565276513679
stable_truncated_1e+40,1e+40,2,2.0,family,baryon,7,191.64335306130928,0.7784848063463903
stable_truncated_1e+40,1e+40,2,2.0,family,boson,3,177.74782506171945,0.44913647329285067
stable_truncated_1e+40,1e+40,2,2.0,family,lepton,3,251.92641481386138,0.2188287509910538
stable_truncated_1e+40,1e+40,2,2.0,family,meson,17,247.40526841180431,0.8203230062750783
stable_truncated_1e+40,1e+40,2,2.0,family,quark,1,282.01389550759745,0.0
stable_truncated_1e+40,1e+40,2,2.0,dominant_interaction,electromagnetic,2,74.3011926088991,0.6045838137492012
stable_truncated_1e+40,1e+40,2,2.0,dominant_interaction,mixed,3,126.52335225622696,0.6997718080542916
stable_truncated_1e+40,1e+40,2,2.0,dominant_interaction,stable,2,195.16352619759968,0.11998100260766209
stable_truncated_1e+40,1e+40,2,2.0,dominant_interaction,strong,4,284.57699873699823,0.562013271237689
stable_truncated_1e+40,1e+40,2,2.0,dominant_interaction,weak,20,239.6365485189162,0.6753010173542877
stable_truncated_1e+40,1e+40,e,2.718281828459045,family,baryon,7,259.07754872018853,0.6311761060149401
stable_truncated_1e+40,1e+40,e,2.718281828459045,family,boson,3,253.88782685289942,0.3671882374431813
stable_truncated_1e+40,1e+40,e,2.718281828459045,family,lepton,3,179.26972323987843,0.15479207901763892
stable_truncated_1e+40,1e+40,e,2.718281828459045,family,meson,17,50.38824207002423,0.9170825267214938
stable_truncated_1e+40,1e+40,e,2.718281828459045,family,quark,1,224.07609155455916,0.0
stable_truncated_1e+40,1e+40,e,2.718281828459045,dominant_interaction,electromagnetic,2,347.86188469833536,0.35626400122196056
stable_truncated_1e+40,1e+40,e,2.718281828459045,dominant_interaction,mixed,3,160.69424663445326,0.3657651363780301
stable_truncated_1e+40,1e+40,e,2.718281828459045,dominant_interaction,stable,2,44.772480755175955,0.9515513519113937
stable_truncated_1e+40,1e+40,e,2.718281828459045,dominant_interaction,strong,4,238.66709542408105,0.20796291172956827
stable_truncated_1e+40,1e+40,e,2.718281828459045,dominant_interaction,weak,20,232.84528034893626,0.8960672914643978
stable_truncated_1e+40,1e+40,pi,3.141592653589793,family,baryon,7,257.69179534030087,0.858636827831376
stable_truncated_1e+40,1e+40,pi,3.141592653589793,family,boson,3,184.92148215716173,0.10248107344700996
stable_truncated_1e+40,1e+40,pi,3.141592653589793,family,lepton,3,263.09532644393323,0.7512951750448756
stable_truncated_1e+40,1e+40,pi,3.141592653589793,family,meson,17,273.072303654666,0.7223557403515835
stable_truncated_1e+40,1e+40,pi,3.141592653589793,family,quark,1,104.71516051495932,0.0
stable_truncated_1e+40,1e+40,pi,3.141592653589793,dominant_interaction,electromagnetic,2,297.6972300629147,0.2972620002204487
stable_truncated_1e+40,1e+40,pi,3.141592653589793,dominant_interaction,mixed,3,166.7031892254889,0.6855970292549305
stable_truncated_1e+40,1e+40,pi,3.141592653589793,dominant_interaction,stable,2,235.93492161728759,0.7964709865299152
stable_truncated_1e+40,1e+40,pi,3.141592653589793,dominant_interaction,strong,4,116.5805930217793,0.665522075299308
stable_truncated_1e+40,1e+40,pi,3.141592653589793,dominant_interaction,weak,20,251.05958335857935,0.7083986226206924
stable_truncated_1e+40,1e+40,phi,1.618033988749895,family,baryon,7,339.72793131442415,0.7036818229167263
stable_truncated_1e+40,1e+40,phi,1.618033988749895,family,boson,3,247.5538294628846,0.06934135803612762
stable_truncated_1e+40,1e+40,phi,1.618033988749895,family,lepton,3,66.78996953419542,0.5981125260343103
stable_truncated_1e+40,1e+40,phi,1.618033988749895,family,meson,17,245.81456104142723,0.668291768059887
stable_truncated_1e+40,1e+40,phi,1.618033988749895,family,quark,1,161.8721785102116,0.0
stable_truncated_1e+40,1e+40,phi,1.618033988749895,dominant_interaction,electromagnetic,2,340.22273272309604,0.3248510101744633
stable_truncated_1e+40,1e+40,phi,1.618033988749895,dominant_interaction,mixed,3,240.69390202673105,0.7500273663072239
stable_truncated_1e+40,1e+40,phi,1.618033988749895,dominant_interaction,stable,2,124.84452022318577,0.6385679265929394
stable_truncated_1e+40,1e+40,phi,1.618033988749895,dominant_interaction,strong,4,214.61929805113587,0.49946640076454574
stable_truncated_1e+40,1e+40,phi,1.618033988749895,dominant_interaction,weak,20,262.0615310733541,0.7289553625932937
stable_truncated_1e+40,1e+40,10,10.0,family,baryon,7,142.22193721919373,0.6374535353180173
stable_truncated_1e+40,1e+40,10,10.0,family,boson,3,268.7267251664474,0.03807863174624626
stable_truncated_1e+40,1e+40,10,10.0,family,lepton,3,3.8980054451840305,0.44656328653921507
stable_truncated_1e+40,1e+40,10,10.0,family,meson,17,107.95398172126954,0.8692653261824962
stable_truncated_1e+40,1e+40,10,10.0,family,quark,1,50.00703705893419,1.1102230246251565e-16
stable_truncated_1e+40,1e+40,10,10.0,dominant_interaction,electromagnetic,2,227.226658811,0.6414996616236393
stable_truncated_1e+40,1e+40,10,10.0,dominant_interaction,mixed,3,226.32444167097822,0.2770057694003508
stable_truncated_1e+40,1e+40,10,10.0,dominant_interaction,stable,2,80.57835622732298,0.32445588758836885
stable_truncated_1e+40,1e+40,10,10.0,dominant_interaction,strong,4,51.92116382785078,0.7269017879447233
stable_truncated_1e+40,1e+40,10,10.0,dominant_interaction,weak,20,67.95092262864142,0.915565276513679
