particle_a,particle_b,bases_close_count,fraction_of_bases_close,mean_3d_distance,min_3d_distance,max_3d_distance
Delta_1232,phi_1020,2,0.2222222222222222,2.0863136484337836,1.3600595589046849,2.418128963738858
Sigma_plus,pi_plus,2,0.2222222222222222,2.1083861802571167,1.5855850597465464,2.5171853401723863
Xi_minus,K_short,1,0.1111111111111111,1.7690950859525738,1.0919402244424812,2.1145336829822576
Xi_minus,B0,1,0.1111111111111111,2.0032533617343184,1.4654348044908556,2.431467526461408
Lambda,B_plus,1,0.1111111111111111,2.0159690382270465,1.597125230752285,2.5142281059864855
Xi_minus,Bs0,1,0.1111111111111111,2.01966646080623,1.4524555390108649,2.420577388840166
Omega_minus,pi_plus,1,0.1111111111111111,2.0260264648720305,1.4475381753264147,2.420957870781789
Lambda,Bs0,1,0.1111111111111111,2.0697798862197465,1.5884739366461997,2.509955920060088
Xi_minus,B_plus,1,0.1111111111111111,2.0742448109914835,1.4077595465098232,2.4404289193401016
Lambda,B0,1,0.1111111111111111,2.0817109254022244,1.5851917896736354,2.531832885294296
K_short,D_plus,1,0.1111111111111111,2.0891929286336204,1.3630579115765293,2.4163174680819277
muon,K_plus,1,0.1111111111111111,2.106847066797988,1.5850806029817421,2.5224731071074324
pi0,eta,0,0.0,2.129512371965672,1.6246135628135188,2.4697504115503506
Omega_minus,K_plus,0,0.0,2.131252391202382,1.6980429301992135,2.5874536953120577
K_short,Ds_plus,0,0.0,2.132880547877457,1.716456917046268,2.595767975908256
rho_770,phi_1020,0,0.0,2.1382101838196785,1.6783361928680756,2.595233980447887
Sigma_plus,D_plus,0,0.0,2.1763193718099263,1.8038485867720726,2.555855819497726
K_short,D0,0,0.0,2.291373842047685,1.8103901118181847,2.6487171846913506
Omega_minus,D_plus,0,0.0,2.2929246858479146,2.0324543232315175,2.588971690925223
Sigma_plus,K_plus,0,0.0,2.30212190073804,1.8068239849718464,2.6898343667371565
muon,pi_plus,0,0.0,2.3022928786414205,1.8054837581174386,2.6901950006547994
pi_plus,K_short,0,0.0,2.3517452459697363,1.971479864130879,2.6981907372929252
Xi_minus,K_long,0,0.0,2.378287286727557,2.1157141578181475,2.8763857774003228
Xi_minus,D_plus,0,0.0,2.3885312583456217,2.0734530763056758,2.86385486785955
tau,K_short,0,0.0,2.395778152460485,1.9640446583748974,2.7717595237254264
Sigma_plus,D0,0,0.0,2.3979892066303914,2.1027737961189343,2.8880525459628386
Lambda,K_long,0,0.0,2.4020629704306438,1.9639793286208491,2.7794667273502163
phi_1020,Higgs,0,0.0,2.412094506375186,2.104836719255253,2.890585305672995
pi0,Upsilon_1S,0,0.0,2.43499287660882,1.99427470634995,2.8242923039804975
Sigma_plus,Ds_plus,0,0.0,2.4364478518610913,1.9853811502619876,2.8180283948241933
K_plus,K_short,0,0.0,2.5150543031086414,2.192703382443284,2.8975771017418297
phi_1020,J_psi,0,0.0,2.5329396249041776,2.1829492586259898,2.8979629042021866
Omega_minus,Ds_plus,0,0.0,2.5377055243131097,2.1807240977104256,2.898038719962886
Lambda,D_plus,0,0.0,2.6583460153380623,2.182556195419837,2.948013827928534
Omega_minus,K_long,0,0.0,2.7404093905040625,2.43709320110454,3.016199398926782
tau,Sigma_plus,0,0.0,2.7410459987224938,2.448461291638074,3.017016803706684
Xi_minus,Ds_plus,0,0.0,2.7418514491976484,2.377868090859065,3.0063181485921215
Omega_minus,D0,0,0.0,2.746524492047598,2.4869742769461385,3.0123264414721453
tau,Omega_minus,0,0.0,2.783122838380543,2.437085115098371,3.1203797666615647
Sigma_plus,K_long,0,0.0,2.783521926438249,2.4393273136940263,3.1223000448804488
Xi_minus,D0,0,0.0,2.7920792055778523,2.488303180808652,3.1570208143159864
Lambda,Ds_plus,0,0.0,2.8019117506904028,2.478014646407944,3.1778251087054867
omega_782,Higgs,0,0.0,2.866588911525466,2.540263308450271,3.2141238714654174
Higgs,top,0,0.0,2.9313014871663787,2.653407628183707,3.227378362285852
omega_782,J_psi,0,0.0,2.9597858190811257,2.645958528538731,3.247092043622427
Lambda,D0,0,0.0,3.00798559288454,2.6049293424798794,3.2597799770719886
pi0,J_psi,0,0.0,3.008790786878813,2.7156145875871918,3.363529133593537
J_psi,top,0,0.0,3.0143120240817574,2.6019510745453776,3.265980934782929
pi_plus,B0,0,0.0,3.028993699411389,2.677162351254925,3.1891868003919592
pi_plus,Bs0,0,0.0,3.034123840687451,2.6743925301331783,3.2091040357674765
tau,Xi_minus,0,0.0,3.044177782603438,2.635227930751559,3.2826291472935876
pi_plus,B_plus,0,0.0,3.0441860106013245,2.63575118390072,3.2821518208582185
tau,Lambda,0,0.0,3.0663835707410723,2.755056518017512,3.394646047851993
pi0,Higgs,0,0.0,3.0696874778164567,2.756883238324125,3.39451304813049
K_short,K_long,0,0.0,3.0752592472331255,2.759957678413443,3.3940563861598334
J_psi,W,0,0.0,3.140100099812807,2.950879491216683,3.4450975635263803
Z,Higgs,0,0.0,3.1449666437790014,2.925097272495239,3.4079961292164365
J_psi,Z,0,0.0,3.147446149571029,2.9631293104564365,3.5330318410600685
muon,Lambda,0,0.0,3.1606612252385804,2.945846533272809,3.4273323919903613
W,Higgs,0,0.0,3.164087364790919,2.946206307596329,3.438053334000148
K_plus,B0,0,0.0,3.17897435180794,2.9492180785331534,3.476680494392132
K_plus,Bs0,0,0.0,3.185685069677814,2.951411118692102,3.4871210353076765
phi_1020,Upsilon_1S,0,0.0,3.1959369301031297,2.927335618470452,3.491828392904377
K_plus,B_plus,0,0.0,3.2023856624404523,2.9014618336614815,3.4742308360964094
muon,Xi_minus,0,0.0,3.2243702925652453,3.0334929691734835,3.630551911228
muon,Omega_minus,0,0.0,3.572295774552384,3.2399052744180223,3.7971453831279947
