record_type,members,member_count,persistence_neighbor_score
cluster,"[""Delta_1232"", ""K_long"", ""K_plus"", ""K_short"", ""Sigma_plus"", ""eta"", ""omega_782"", ""rho_770"", ""top""]",9,0.004166666666666667
cluster,"[""D0"", ""Higgs"", ""Xi_minus"", ""muon"", ""pi0"", ""pi_plus""]",6,0.004166666666666667
cluster,"[""W"", ""muon"", ""omega_782"", ""top""]",4,0.004166666666666667
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""D_plus"", ""Delta_1232"", ""Higgs"", ""K_long"", ""K_short"", ""Sigma_plus"", ""Xi_minus"", ""phi_1020"", ""pi0""]",13,0.004166666666666667
cluster,"[""Ds_plus"", ""J_psi"", ""K_plus"", ""Upsilon_1S"", ""rho_770""]",5,0.004166666666666667
cluster,"[""Lambda"", ""Omega_minus"", ""eta"", ""neutron"", ""tau""]",5,0.004166666666666667
cluster,"[""D0"", ""D_plus"", ""neutron""]",3,0.004166666666666667
cluster,"[""Delta_1232"", ""Ds_plus"", ""Higgs"", ""Upsilon_1S"", ""eta"", ""muon""]",6,0.004166666666666667
cluster,"[""J_psi"", ""Sigma_plus"", ""Xi_minus"", ""pi0"", ""rho_770""]",5,0.004166666666666667
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_long"", ""Lambda"", ""W"", ""Z"", ""omega_782"", ""top""]",9,0.004166666666666667
cluster,"[""K_long"", ""Upsilon_1S"", ""Xi_minus"", ""neutron"", ""pi_plus"", ""top""]",6,0.004166666666666667
cluster,"[""D0"", ""D_plus"", ""Higgs"", ""J_psi"", ""Sigma_plus"", ""W"", ""Z"", ""muon"", ""omega_782"", ""phi_1020"", ""rho_770""]",11,0.004166666666666667
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""neutron"", ""pi0""]",8,0.004166666666666667
cluster,"[""Delta_1232"", ""K_plus"", ""Lambda"", ""Sigma_plus"", ""W"", ""Z"", ""eta"", ""omega_782"", ""phi_1020"", ""tau"", ""top""]",11,0.004166666666666667
cluster,"[""D_plus"", ""K_short"", ""Upsilon_1S"", ""rho_770""]",4,0.004166666666666667
cluster,"[""D0"", ""K_long"", ""Omega_minus""]",3,0.004166666666666667
cluster,"[""D0"", ""pi0"", ""top""]",3,0.004166666666666667
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""Ds_plus"", ""Higgs"", ""K_plus"", ""W"", ""Xi_minus"", ""Z"", ""neutron"", ""omega_782""]",12,0.004166666666666667
