peak_rank,peak_base,peak_score,expression,n,constant_value,absolute_error,relative_error,match_rank_for_peak
84,3.5135827165433087,0.0384701896390299,e^n,15,3269017.372472108,3269013.858889391,930393.3115044105,128
84,3.5135827165433087,0.0384701896390299,e^n,16,8886110.520507865,8886107.006925149,2529072.9502641037,129
84,3.5135827165433087,0.0384701896390299,pi^n,14,9122171.181754349,9122167.668171633,2596258.1228615833,130
84,3.5135827165433087,0.0384701896390299,e^n,17,24154952.753575277,24154949.23999256,6874734.761832046,131
84,3.5135827165433087,0.0384701896390299,pi^n,15,28658145.969387982,28658142.455805264,8156387.587197429,132
84,3.5135827165433087,0.0384701896390299,e^n,18,65659969.13733045,65659965.623747736,18687468.296845604,133
84,3.5135827165433087,0.0384701896390299,pi^n,16,90032220.84293322,90032217.3293505,25624049.465363074,134
84,3.5135827165433087,0.0384701896390299,e^n,19,178482300.96318707,178482297.44960436,50797807.20950173,135
84,3.5135827165433087,0.0384701896390299,pi^n,17,282844563.5865329,282844560.0729502,80500327.69719876,136
84,3.5135827165433087,0.0384701896390299,e^n,20,485165195.40978974,485165191.89620703,138082757.98143625,137
84,3.5135827165433087,0.0384701896390299,pi^n,18,888582403.0712627,888582399.55768,252899240.2466832,138
84,3.5135827165433087,0.0384701896390299,pi^n,19,2791563949.5978436,2791563946.084261,794506397.3990128,139
