peak_rank,base,top_k,selected_gaps,midpoint_angles_deg,area,perimeter,symmetry_score,compactness
12,42.200200040008,5,"[""B_plus -> top"", ""K_short -> Delta_1232"", ""K_plus -> Xi_minus"", ""tau -> D0"", ""Upsilon_1S -> tau""]","[27.919347589211384, 139.36953779068727, 230.5836141887793, 281.169075556908, 316.67170138993873]",2.1153705086047214,5.710987869662082,0.04087353840710747,0.8150304489196353
12,42.200200040008,6,"[""B_plus -> top"", ""K_short -> Delta_1232"", ""K_plus -> Xi_minus"", ""tau -> D0"", ""Upsilon_1S -> tau"", ""Sigma_plus -> Higgs""]","[27.919347589211384, 88.03020877360989, 139.36953779068727, 230.5836141887793, 281.169075556908, 316.67170138993873]",2.473927908144977,5.9263368868039175,0.06582905227332123,0.8851649986254332
13,43.87925585117024,3,"[""B_plus -> K_long"", ""tau -> D0"", ""neutron -> pi_plus""]","[20.536078260105196, 200.9588211229934, 291.1175337626263]",0.9962832409010474,4.82317676890087,0.024223733165718433,0.5381784837052956
13,43.87925585117024,4,"[""B_plus -> K_long"", ""tau -> D0"", ""neutron -> pi_plus"", ""J_psi -> electron""]","[20.536078260105196, 111.09833999415365, 200.9588211229934, 291.1175337626263]",1.9999467773577315,5.656816617929481,0.7350308107805142,0.7853877122801938
13,43.87925585117024,5,"[""B_plus -> K_long"", ""tau -> D0"", ""neutron -> pi_plus"", ""J_psi -> electron"", ""K_long -> top""]","[20.536078260105196, 111.09833999415365, 200.9588211229934, 235.41533016666145, 291.1175337626263]",2.195898935347115,5.767354690704801,0.044372433026061954,0.8296002795570349
13,43.87925585117024,6,"[""B_plus -> K_long"", ""tau -> D0"", ""neutron -> pi_plus"", ""J_psi -> electron"", ""K_long -> top"", ""Xi_minus -> Lambda""]","[20.536078260105196, 111.09833999415365, 141.5901052036776, 200.9588211229934, 235.41533016666145, 291.1175337626263]",2.379839656556517,5.8712308086748894,0.047633559801878826,0.8675594683234197
14,2.0590518103620723,3,"[""Higgs -> electron"", ""Z -> W"", ""D_plus -> Ds_plus""]","[85.60448437544437, 171.32943083244814, 286.31915057578914]",1.1286577830442266,5.014579598610912,0.03677792628517557,0.5640311451361858
14,2.0590518103620723,4,"[""Higgs -> electron"", ""Z -> W"", ""D_plus -> Ds_plus"", ""proton -> phi_1020""]","[3.515194756287522, 85.60448437544437, 171.32943083244814, 286.31915057578914]",1.9346095470334768,5.608167377410391,0.07410228853871104,0.7729675409120095
14,2.0590518103620723,5,"[""Higgs -> electron"", ""Z -> W"", ""D_plus -> Ds_plus"", ""proton -> phi_1020"", ""pi_plus -> Delta_1232""]","[3.515194756287522, 85.60448437544437, 171.32943083244814, 243.12179987451302, 286.31915057578914]",2.2986396683579,5.830323835643015,0.07933918643810474,0.849758281968236
14,2.0590518103620723,6,"[""Higgs -> electron"", ""Z -> W"", ""D_plus -> Ds_plus"", ""proton -> phi_1020"", ""pi_plus -> Delta_1232"", ""phi_1020 -> Omega_minus""]","[3.515194756287522, 27.13088062684948, 85.60448437544437, 171.32943083244814, 243.12179987451302, 286.31915057578914]",2.429897415874017,5.903130619641865,0.05198103206357135,0.8762600602882167
