name,family,dominant_interaction,mass_mev,compton_frequency_hz,lifetime_s,compton_cycles,log10_N,base,log_base_N,phase_fraction,theta_rad,theta_deg,complex_x,complex_y
Delta_1232,baryon,strong,1232.0,2.978962746248619e+23,5.5999999999999996e-24,1.6682191378992266,0.22225309913704822,e,0.5117566729446951,0.5117566729446951,3.2154620082972167,184.23240226009023,-0.9972728996324879,-0.0738021927764323
pi0,meson,electromagnetic,134.9768,3.2637245033104756e+22,8.43e-17,2751319.756290731,6.439541066697468,e,14.827591265900567,0.8275912659005673,5.199909282256598,297.9328557242042,0.4684365243598444,-0.883497154859974
pi_plus,meson,weak,139.57039,3.374797015335964e+22,2.6033e-08,878560907002411.5,14.943771874719356,e,34.40930635183248,0.4093063518324769,2.571747655969097,147.35028665969168,-0.8419846092997902,0.5395015455976745
K_plus,meson,weak,493.677,1.193705675064756e+23,1.238e-08,1477807625730168.0,15.169617903259415,e,34.92933605046072,0.9293360504607193,5.839190617687098,334.56097816585896,0.9030429530420054,-0.429550258946697
K_short,meson,weak,497.611,1.2032180447431181e+23,8.954e-11,10773614372629.879,13.032361426487812,e,30.008121147141452,0.008121147141451956,0.05102667239661443,2.9236129709227043,0.9986984218010738,0.05100453207357644
K_long,meson,weak,497.611,1.2032180447431181e+23,5.116e-08,6155663516905793.0,15.789274872247002,e,36.356148950021414,0.35614895002141367,2.237749849941983,128.21362200770892,-0.6185952144784919,0.7857098450600634
eta,meson,electromagnetic,547.862,1.3247244221471272e+23,5.02e-19,66501.16599178579,4.82282926003031,e,11.104974760201296,0.10497476020129604,0.6595758709214836,37.79091367246657,0.7902522011209563,0.6127817381608918
rho_770,meson,strong,775.26,1.8745703398187536e+23,4.41e-24,0.8266855198600702,-0.08265966936381419,e,-0.19033092246893518,0.8096690775310649,5.087300851620836,291.48086791118334,0.36619052317731743,-0.9305398974440174
omega_782,meson,strong,782.66,1.892463460210182e+23,7.749999999999999e-23,14.666591816628907,1.1663292053773442,e,2.6855722418254637,0.6855722418254637,4.307577436847924,246.80600705716697,-0.3938455425877323,-0.9191766362260165
phi_1020,meson,strong,1019.461,2.4650457307251326e+23,1.55e-22,38.208208826239556,1.582156678747984,e,3.643050383266077,0.6430503832660772,4.040404719913618,231.4981379757878,-0.6225400698634831,-0.7825879256763226
D0,meson,weak,1864.84,4.509163058209639e+23,4.103e-13,185010960278.34146,11.267197457307917,e,25.943680905017626,0.9436809050176258,5.929321997072681,339.72512580634526,0.9380409854398365,-0.34652432762370455
D_plus,meson,weak,1869.66,4.5208177663564874e+23,1.033e-12,467000475264.6251,11.669317322546195,e,26.86959611231206,0.8695961123120597,5.463833516059623,313.0546004323415,0.6826949991477964,-0.7307034543086479
Ds_plus,meson,weak,1968.35,4.759449124657848e+23,5.012e-13,238543590127.85135,11.377567751184174,e,26.197817898406463,0.1978178984064627,1.2429265127646305,71.21444342632657,0.3220270485885103,0.9467304684953227
J_psi,meson,mixed,3096.9,7.488270883812783e+23,7.080000000000001e-21,5301.695785739452,3.7244148040524654,e,8.575782007937546,0.575782007937546,3.6177450524115486,207.28152285751653,-0.8887650949516,-0.4583629631587541
B_plus,meson,weak,5279.41,1.2765556584555537e+24,1.638e-12,2090998168550.197,12.320353652430827,e,28.36866266050197,0.3686626605019683,2.316375811771703,132.71855778070858,-0.6783976689955106,0.7346949045021735
B0,meson,weak,5279.72,1.2766306161220584e+24,1.517e-12,1936648644657.1626,12.287050836244319,e,28.29198009239619,0.2919800923961908,1.8345650265326843,105.1128332626287,-0.26072075126005884,0.9654142581619511
Bs0,meson,weak,5366.93,1.297717900302281e+24,1.516e-12,1967340336858.258,12.293879496489762,e,28.30770366368247,0.3077036636824708,1.9333591386150295,110.7733189256895,-0.3546716012229193,0.9349909386116908
Upsilon_1S,meson,mixed,9460.4,2.2875145425820157e+24,1.2190000000000001e-20,27884.802274074773,4.445367569337434,e,10.235837098035551,0.2358370980355513,1.4818081892648476,84.90135529279847,0.08887073616582478,0.9960431678664055
W,boson,weak,80369.2,1.9433186099497117e+25,3.16e-25,6.140886807441088,0.7882310922760309,e,1.8149691629092028,0.8149691629092028,5.12060227019555,293.38889864731306,0.3969700634907195,-0.9178315579081895
Z,boson,weak,91188.0,2.204916030072395e+25,2.64e-25,5.820978319391123,0.7649959817301074,e,1.7614683437320906,0.7614683437320906,4.784446709219846,274.1286037435526,0.07199538726906708,-0.9974049650026698
Higgs,boson,mixed,125200.0,3.027322531090317e+25,1.6000000000000002e-22,4843.716049744508,3.685178675832777,e,8.485437483992088,0.4854374839920883,3.0500936669733147,174.75749423715177,-0.9958168873868888,0.09137136747957961
top,quark,weak,172560.0,4.172482236141734e+25,3.3e-25,13.769191379267722,1.1389084362748172,e,2.622433587651553,0.6224335876515532,3.9108655726273165,224.07609155455916,-0.7184166264851088,-0.6956130754879148
muon,lepton,weak,105.6583755,2.5548081529516867e+22,2.1969811e-06,5.612865226160765e+16,16.74918461424223,pi,33.69041316147935,0.6904131614793485,4.33799383209045,248.5487381325655,-0.3657096429984367,-0.9307289922517489
tau,lepton,weak,1776.93,4.2965976239379536e+23,2.903e-13,124730229022.9188,11.09597171977255,pi,22.31916838204488,0.31916838204487874,2.005394088580663,114.90061753615636,-0.42104558949895843,0.9070394762982892
neutron,baryon,weak,939.56542194,2.2718590824858967e+23,878.4,1.9956010180556114e+26,26.300073716822478,pi,52.90170059643828,0.9017005964382818,5.665551939016082,324.61221471778146,0.815251272444264,-0.5791073844961818
Lambda,baryon,weak,1115.683,2.6977094915770273e+23,2.617e-10,70599057394570.8,13.84879890259473,pi,27.856386299660297,0.8563862996602971,5.380833815295473,308.29906787770693,0.6197662644978716,-0.7847864533682741
Sigma_plus,baryon,weak,1189.37,2.8758838648585384e+23,8.018e-11,23058836828435.76,13.362837396118582,pi,26.878891316421846,0.8788913164218464,5.52223700594947,316.4008739118647,0.7241823798714618,-0.6896084981231785
Xi_minus,baryon,weak,1321.71,3.195880561156057e+23,1.639e-10,52380482397347.77,13.719169493736818,pi,27.595641168306987,0.5956411683069867,3.7425238370577416,214.4308205905152,-0.8248094714238124,-0.5654107673626062
Omega_minus,baryon,weak,1672.45,4.043966107924921e+23,8.21e-11,33200961746063.605,13.521150664275083,pi,27.19733305170497,0.19733305170496962,1.2398801310935748,71.03989861378906,0.3249096521988067,0.945745059679431
Delta_1232,baryon,strong,1232.0,2.978962746248619e+23,5.5999999999999996e-24,1.6682191378992266,0.22225309913704822,pi,0.44705452287983805,0.44705452287983805,2.8089264096667788,160.9396282367417,-0.9451750041590689,0.3265642532686397
pi0,meson,electromagnetic,134.9768,3.2637245033104756e+22,8.43e-17,2751319.756290731,6.439541066697468,pi,12.952917058593572,0.952917058593572,5.98735446151592,343.0501410936859,0.9565602521626742,-0.2915347045936063
pi_plus,meson,weak,139.57039,3.374797015335964e+22,2.6033e-08,878560907002411.5,14.943771874719356,pi,30.05888705902044,0.05888705902043867,0.36999830402023737,21.19934124735792,0.932327958897148,0.3616138507561316
K_plus,meson,weak,493.677,1.193705675064756e+23,1.238e-08,1477807625730168.0,15.169617903259415,pi,30.51316863675908,0.5131686367590795,3.2243336385900268,184.74070923326863,-0.9965789171167793,-0.08264660887385336
K_short,meson,weak,497.611,1.2032180447431181e+23,8.954e-11,10773614372629.879,13.032361426487812,pi,26.214150183451487,0.21415018345148695,1.3455452861921957,77.0940660425353,0.22335106799908713,0.9747380675974788
K_long,meson,weak,497.611,1.2032180447431181e+23,5.116e-08,6155663516905793.0,15.789274872247002,pi,31.759587479490687,0.759587479490687,4.7726288906534595,273.4514926166473,0.060203483311296935,-0.9981861252277485
